"","ID","dataset_id","country","site","longitude","latitude","on_farm","variety","nut_response_eval","yield","N_fertilizer","N_splits","P_fertilizer","K_fertilizer","year","planting_date","harvest_date","dif","source","N100","P100","K100","blup_NGA","Ywp","N_base_supply","P_base_supply","K_base_supply","pyear","totalRF"
"17","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1345,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"18","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",2786,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"19","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",3706,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"20","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",4278,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"21","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",4230,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"22","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",764,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"23","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",1304,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"24","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",1212,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"25","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",1704,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"26","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2254,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"27","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2448,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"28","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",2267,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"29","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",1356,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"30","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",2229,15,NA,7,12,"2017",2017-06-01,2017-11-01,153,"Carob",0.15,0.07,0.12,2006.31793541784,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"31","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NPK",3447,11,NA,9,18,"2017",2017-06-01,2017-11-01,153,"Carob",0.11,0.09,0.18,2181.39043217158,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"32","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","NP",3032,14,NA,14,0,"2017",2017-06-01,2017-11-01,153,"Carob",0.14,0.14,0,2119.87240441633,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
"33","10.0287754-10.6228284","doi_10.25502_RGB5-GA15_D","Nigeria","",10.0287754,10.6228284,TRUE,"Sammaz 15","Control",973,0,NA,0,0,"2017",2017-06-01,2017-11-01,153,"Carob",0,0,0,965.432102790767,10245,38.4000015258789,5.30000019073486,90.9000015258789,2017,896.888221979141
